ParName   Value   Gradient
rec_dev_est(1991)     -2.42979 -2.65018e-05
rec_dev_est(1992)     -2.35568 -5.71087e-07
rec_dev_est(1993)     -2.12185 -6.23069e-06
rec_dev_est(1994)     -1.64165 -1.43166e-05
rec_dev_est(1995)     -1.96575 -1.13287e-05
rec_dev_est(1996)      -1.1717 -3.22646e-05
rec_dev_est(1997)     -1.96758  2.04594e-06
rec_dev_est(1998)    -0.607028  0.000169276
rec_dev_est(1999)     -1.57019   0.00040435
rec_dev_est(2000)    -0.311319   0.00278134
rec_dev_est(2001)     -1.38408  0.000936751
rec_dev_est(2002)    -0.280148   0.00199599
rec_dev_est(2003)     -1.09917  0.000620027
rec_dev_est(2004)     -2.12356  0.000204929
rec_dev_est(2005)     -2.20522  0.000251141
rec_dev_est(2006)     -1.93545   0.00032894
rec_dev_est(2007)     -1.12427  0.000313008
rec_dev_est(2008)    -0.131644  -0.00176415
rec_dev_est(2009)     -1.28373  -0.00145015
rec_dev_est(2010)     -2.06965 -0.000940479
rec_dev_est(2011)     -3.09928 -0.000347052
rec_dev_est(2012)     -2.25031 -0.000540067
rec_dev_est(2013)     -2.80999 -0.000292094
rec_dev_est(2014)      -2.7965 -0.000228904
rec_dev_est(2015)      -2.0739 -0.000271232
rec_dev_est(2016)    -0.494844 -0.000828147
rec_dev_est(2017)      -1.1963 -0.000233319
rec_dev_est(2018)    -0.817842 -6.57699e-05
rec_dev_est(2019)     -1.96836  2.30744e-07
rec_dev_est(2020)    -0.076751  6.97271e-07
rec_dev_est(2021)     0.365259  2.82484e-08
rec_dev_est(2022)     0.137067 -5.57523e-07
rec_dev_est(2023)     -1.09946 -2.64261e-07
survey_q[1]     0.817197 -1.67254e-07
survey_q[2]     0.711859  -9.2441e-07
